Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
MCG-02-33-075,12,58,28.3,-,10,34,37,7.62,64,25,0,-15.2,25.5,8.48,8.73,7.57,7.57,1173,0.2,NGC4594,0.3,0.17,1.17577E+20,1.06821E+39,6.8085E+60
GR8,12,58,40.4,+,14,13,3,1.08,27,11,0,-12,24.5,6.84,7.15,6.92,6.92,139,-1.4,Milky Way,-0.8,-2.04,1.66644E+19,2.80968E+37,1.93846E+58
HIPASS J1258-04,12,58,49.6,-,4,53,19,1.59,87,19,0,-13.9,23.4,7.82,7.81,7.67,7.67,1199,-1.2,NGC4594,-0.9,-2.21,2.45337E+19,1.28427E+38,6.18554E+58
[KK98]175,12,59,1,+,35,28,48,2.21,50,8,0,-12.5,25.5,7.25,7.2,7.74,7.74,721,0.9,NGC4861,1,0.1,3.41003E+19,3.15251E+37,1.66098E+59
NGC4861,12,59,2,+,34,51,37,10.2,90,45,0.06,-17.2,24.2,9.13,9.38,8.86,8.86,861,-0.6,NGC5055,-0.2,-0.3,1.57386E+20,4.77152E+39,1.633E+61
KK176,12,59,56.3,-,19,24,47,3.17,64,15,0,-13,25.9,7.44,7.93,7.81,7.81,618,-0.9,NGC4594,-0.7,-1.15,4.89131E+19,1.693E+38,4.9019E+59
UGC08105,12,59,58.1,+,2,2,58,4.17,54,17,0,-14.4,25.1,7.99,8.13,7.82,7.82,751,-0.3,NGC4636,0.2,1.21,6.43431E+19,2.68322E+38,1.11582E+60
UGCA319,13,2,14.4,-,17,14,15,2.24,53,51,0.05,-14.1,23.9,8.02,8.84,7.76,7.76,555,-0.5,DDO161,-0.2,0.52,3.45632E+19,1.37612E+39,1.72954E+59
DDO161,13,3,16.8,-,17,25,23,13.84,90,49,0.22,-16,26.1,8.74,9.59,8.83,8.83,545,-0.9,NGC5236,-0.5,-1.24,2.13551E+20,7.7385E+39,4.07938E+61
ESO269-037,13,3,33.6,-,46,35,3,1.23,47,3,0,-11.8,25,6.96,6.23,5.51,5.51,481,1,NGC4945,1.2,1.88,1.89789E+19,3.37798E+36,2.86353E+58
KK182,13,5,2.9,-,40,4,58,1.7,62,12,0,-13,24.5,7.49,7.48,7.65,7.65,364,-0.7,NGC5236,-0.5,-1.17,2.6231E+19,6.00699E+37,7.5602E+58
NGC4945,13,5,26.1,-,49,28,16,31.36,86,169,1.16,-20.3,23.5,10.66,11.01,8.91,8.91,299,0.8,NGC5128,0.9,1.69,4.83885E+20,2.03543E+41,4.74586E+62
IC4182,13,5,49.3,+,37,36,21,8.43,23,31,0,-16.2,24.7,8.7,8.97,8.29,8.29,357,1,NGC4736,1,1.43,1.30075E+20,1.85634E+39,9.21869E+60
DDO165,13,6,26.8,+,67,42,15,5.71,68,20,0,-15.2,24.9,8.23,8.43,8.08,8.08,196,-0.6,NGC4236,-0.2,0.75,8.81053E+19,5.35373E+38,2.8648E+60
MCG -03-34-002,13,7,56.6,-,16,41,21,2.99,59,28,0,-15.1,23.6,8.1,8.44,7.72,7.72,765,-0.6,NGC4594,-0.5,-1.81,4.61357E+19,5.47844E+38,4.11339E+59
UGC08215,13,8,3.6,+,46,49,41,1.13,52,3,0,-12.3,24.3,7.18,6.16,7.28,7.28,304,0.4,NGC4736,0.5,1.39,1.74359E+19,2.87512E+36,2.22035E+58
UGC08245,13,8,34.2,+,78,56,13,2.92,90,3,0,-13.8,24.9,7.78,6.33,7.14,7.14,177,-0.6,MESSIER081,-0.3,0.38,4.50556E+19,4.25262E+36,3.8312E+59
MCG -04-31-038,13,9,36.6,-,27,8,26,2.45,55,31,0,-14.7,23.6,8.79,8.43,7.98,7.98,461,-1.1,NGC4594,-0.9,,3.78035E+19,5.35373E+38,2.263E+59
ESO269-058,13,10,32.9,-,46,59,27,5.52,62,30,0,-15,25,8.86,8.77,7.37,7.37,140,1.4,NGC5128,1.6,1.87,8.51736E+19,1.17127E+39,2.58823E+60
NGC5023,13,12,11.9,+,44,2,19,11.88,90,78,0.73,-16.9,24.8,9.01,9.93,8.58,8.58,476,-0.9,MESSIER101,-0.3,-1.14,1.83308E+20,1.693E+40,2.5801E+61
DDO167,13,13,22.8,+,46,19,11,1.33,67,3,0,-12.7,24.2,7.19,6.06,7.2,7.2,230,1.6,DDO168,1.6,1.41,2.05219E+19,2.28379E+36,3.62027E+58
UGC08313,13,13,53.9,+,42,12,31,5.19,74,53,0.17,-15.5,24.4,8.44,9.23,7.93,7.93,683,1.7,NGC5055,1.7,2.03,8.00817E+19,3.37798E+39,2.15124E+60
DDO168,13,14,28.6,+,45,55,10,4.7,90,25,0,-15.2,24.4,8.13,8.54,8.33,8.33,270,0.7,DDO167,0.9,1.41,7.2521E+19,6.89694E+38,1.59764E+60
DDO169NW,13,15,19.2,+,47,32,18,0.97,51,11,0,-10.2,26,6.34,7.16,7,7,328,0.3,NGC4736,0.6,1.39,1.49671E+19,2.87512E+37,1.40443E+58
DDO169,13,15,30.7,+,47,29,47,3.65,90,20,0,-13.8,25.3,7.73,8.22,7.75,7.75,348,0.3,NGC4736,0.4,1.38,5.63195E+19,3.30108E+38,7.48281E+59
NGC5055,13,15,49.3,+,42,1,45,42.41,58,211,0.45,-21,23.4,11,11.34,9.62,9.62,562,-0.1,NGC5194,0.1,-0.4,6.54386E+20,4.35168E+41,1.17379E+63
AGC239141,13,17,40.8,+,35,27,59,0.34,64,3,0,-9.4,24.6,6.01,5.49,6.23,6.23,359,-0.2,NGC4736,0,1.33,5.2462E+18,6.14691E+35,6.04816E+56
NGC5068,13,18,55.3,-,21,2,21,16.4,29,66,0.03,-18.5,23.9,9.73,9.92,8.82,8.82,469,0,NGC5236,0.1,1.61,2.53052E+20,1.65446E+40,6.78763E+61
AGC732602,13,21,4.8,+,24,8,36,1.43,83,6,0,-12.5,24.6,7.26,6.78,7.11,7.11,908,-1.2,NGC4382,-0.7,,2.20649E+19,1.19855E+37,4.49981E+58
KK195,13,21,8.2,-,31,31,47,1.19,78,3,0,-11.9,24.8,7.02,5.96,7.62,7.62,345,,,,,1.83617E+19,1.81408E+36,2.59315E+58
NGC5102,13,21,57.8,-,36,37,47,14.47,90,91,0.46,-18.2,23.9,9.7,10.14,8.47,8.47,227,1.1,NGC5128,1.1,1.86,2.23272E+20,2.74572E+40,4.66221E+61
KK200,13,24,36,-,30,58,20,1.59,60,3,0,-12.9,24.4,7.31,6.19,6.86,6.86,271,1.6,NGC5236,1.6,1.64,2.45337E+19,3.08075E+36,6.18554E+58
NGC5128,13,25,28.9,-,43,1,0,41.87,45,318,0.25,-20.7,23.7,10.89,11.69,8.44,8.44,310,1.3,UCD320,1.6,1.5,6.46054E+20,9.74219E+41,1.12952E+63
UCD320,13,25,52.7,-,42,54,13,0.11,64,20,0,-10.5,21,7.13,6.7,,,259,5.1,NGC5128,5.1,1.88,1.6973E+18,9.96912E+36,2.04816E+55
UCD330,13,25,54.3,-,41,0,35,0.08,22,84,0.02,-11.2,19.8,7.42,7.84,,,497,2.6,NGC5128,2.6,1.88,1.2344E+18,1.37612E+38,7.87873E+54
IC4247,13,26,44.4,-,30,21,45,2.55,90,11,0,-14.4,23.9,8.25,7.55,7.59,7.59,200,1.3,NGC5236,1.3,1.64,3.93465E+19,7.05759E+37,2.55157E+59
ESO324-024,13,27,37.4,-,41,28,50,3.98,44,50,0.04,-15.5,23.8,8.35,9.06,8.18,8.18,272,2.4,NGC5128,2.4,1.88,6.14114E+19,2.28379E+39,9.70143E+59
CVnI,13,28,3.5,+,33,33,21,0.93,70,3,0,-7.9,28.3,6.1,5.88,< 3.08,3.08,62,1.5,Milky Way,1.6,1.73,1.43499E+19,1.50889E+36,1.23776E+58
PGC170257,13,29,21,-,21,10,45,1.45,47,28,0,-13.6,23.5,7.67,8.14,6.91,6.91,457,0.3,NGC5236,0.6,1.64,2.23735E+19,2.74572E+38,4.69127E+58
NGC5204,13,29,36.4,+,58,25,4,6.79,54,62,0.11,-16.7,23.7,8.84,9.48,8.59,8.59,339,-0.9,NGC4736,-0.4,-0.68,1.0477E+20,6.00699E+39,4.81721E+60
NGC5194,13,29,52.7,+,47,14,4,39.75,33,143,0.1,-21.3,23.1,10.97,10.97,9.32,9.32,538,0.1,NGC5229,0.5,1.35,6.13343E+20,1.85634E+41,9.66491E+62
NGC5195,13,29,58.7,+,47,16,5,15.79,25,171,0.06,-19.2,23.1,10.59,10.73,8.14,8.14,548,0.4,NGC5194,0.5,1.72,2.4364E+20,1.06821E+41,6.05805E+61
UGC08508,13,30,44.4,+,54,54,36,1.65,63,21,0,-13.1,24.3,7.54,7.92,7.29,7.29,181,-0.8,MESSIER081,-0.5,-0.88,2.54595E+19,1.65446E+38,6.91255E+58
AGC238890,13,32,30.3,+,25,7,25,1.29,59,3,0,-12.1,24.8,7.09,6.11,6.37,6.37,356,-0.7,NGC4826,-0.5,-1.51,1.99047E+19,2.56246E+36,3.30336E+58
[KK98]206,13,33,22.8,+,49,6,7,2.76,56,29,0,-15,23.5,8.25,8.44,8.1,8.1,690,0.1,NGC5194,0.3,1.72,4.25868E+19,5.47844E+38,3.23529E+59
NGC5229,13,34,2.9,+,47,54,55,8.27,90,55,0.33,-15.8,25.1,8.56,9.46,8.57,8.57,456,,,,,1.27606E+20,5.73663E+39,8.70368E+60
NGC5238,13,34,42.7,+,51,36,50,2.75,39,24,0,-14.8,23.7,8.02,8.28,7.42,7.42,342,-0.4,NGC4736,-0.2,-0.27,4.24325E+19,3.79015E+38,3.20025E+59
ESO270-017,13,34,47.3,-,45,32,51,32.66,90,64,0.5,-18.5,25.4,9.75,10.19,9.17,9.17,583,-1.4,NGC5236,-1,,5.03944E+20,3.08075E+40,5.36087E+62
UGCA365,13,36,30.8,-,29,14,11,2.54,87,9,0,-13.4,24.9,7.73,7.4,7.29,7.29,367,0.7,NGC5236,0.8,1.64,3.91922E+19,4.99639E+37,2.52167E+59
NGC5236,13,37,0.1,-,29,52,4,28.06,28,254,0.1,-20.6,22.9,10.86,11.32,9.99,9.99,307,0.5,NGC5264,0.6,0.6,4.32966E+20,4.15582E+41,3.39977E+62
HIDEEP J1337-33,13,37,0.6,-,33,21,47,0.28,20,7,0,-11.2,22.3,6.73,6.23,6.71,6.71,371,0.9,NGC5236,1,1.65,4.3204E+18,3.37798E+36,3.37801E+56
ESO444-084,13,37,20.2,-,28,2,46,1.91,45,34,0,-13.6,24.2,7.61,8.4,7.9,7.9,380,1.4,NGC5236,1.4,1.64,2.94713E+19,4.99639E+38,1.07223E+59
HIPASS J1337-39,13,37,25.1,-,39,53,52,0.83,38,22,0,-12.4,23.5,7.21,7.67,7.6,7.6,258,0,NGC5236,0.2,1.61,1.28069E+19,9.30372E+37,8.79874E+57
