Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
AGC102728,0,0,21.4,+,31,1,19,0.73,64,3,0,-10.4,25.2,6.43,5.82,7.05,7.05,836,-1.8,NGC7331,-1.4,,1.12639E+19,1.31419E+36,5.98625E+57
UGC12894,0,0,22.5,+,39,29,44,2.97,33,21,0,-13.5,25.2,7.63,8.2,7.98,7.98,619,,,,,4.58271E+19,3.15251E+38,4.0314E+59
PGC000083,0,1,6.5,+,32,22,41,1.98,90,10,0,-12.3,25.5,7.18,7.38,7.46,7.46,815,-2.1,NGC0891,-1.5,-0.96,3.05514E+19,4.77152E+37,1.19449E+59
WLM,0,1,58.1,-,15,27,40,3.25,90,22,0,-14.1,24.8,7.7,8.27,7.84,7.84,-16,0,MESSIER031,0.2,1.75,5.01475E+19,3.70388E+38,5.28246E+59
And XVIII,0,2,14.5,+,45,5,20,0.69,17,9,0,-8.7,26.8,6.44,6.78,< 6.65,6.65,-44,0.5,MESSIER031,0.6,1.54,1.06467E+19,1.19855E+37,5.05515E+57
ESO409-015,0,5,31.8,-,28,5,53,3,78,23,0,-14.6,24.1,8.1,8.25,8.1,8.1,769,-1.9,IC5332,-1.4,-2.05,4.629E+19,3.53718E+38,4.1548E+59
AGC748778,0,6,34.4,+,15,30,39,0.61,70,3,0,-10.4,24.9,6.39,5.7,6.64,6.64,486,-1.9,NGC0253,-1.4,-2.72,9.4123E+18,9.96912E+35,3.49282E+57
And XX,0,7,30.7,+,35,7,56,0.2,33,5,0,-5.8,27.1,5.26,5.7,,,-182,2.4,MESSIER031,2.4,1.75,3.086E+18,9.96912E+35,1.23105E+56
UGC00064,0,7,44,+,40,52,32,4.14,66,28,0,-14.4,25,8.01,8.58,8.44,8.44,587,,,,,6.38802E+19,7.56235E+38,1.09191E+60
ESO349-031,0,8,13.3,-,34,34,42,1.15,39,14,0,-11.9,24.8,7.12,7.41,7.13,7.13,230,0.2,NGC0253,0.3,1.75,1.77445E+19,5.11277E+37,2.34035E+58
NGC0024,0,9,56.4,-,24,57,48,14.76,85,95,0.64,-17.7,24.5,9.48,10.19,8.64,8.64,606,0.3,dw0009-25,0.6,0.08,2.27747E+20,3.08075E+40,4.94818E+61
NGC0045,0,14,3.9,-,23,10,56,16.51,47,103,0.17,-17.8,24.6,9.33,10.31,9.18,9.18,528,-1,NGC0024,-0.9,0.23,2.54749E+20,4.06122E+40,6.92512E+61
PiscesA,0,14,46,+,10,48,47,0.99,60,3,0,-10.7,25.6,6.53,5.99,6.96,6.96,444,-1.6,NGC0253,-1.3,-2.86,1.52757E+19,1.94382E+36,1.49311E+58
NGC0055,0,14,53.6,-,39,11,48,23.3,84,74,0.55,-18.8,24.4,9.49,10.18,9.44,9.44,111,0.1,NGC0300,0.2,0.24,3.59519E+20,3.01062E+40,1.9465E+62
NGC0059,0,15,25.1,-,21,26,38,3.26,90,21,0,-15.6,23.3,8.66,8.21,7.34,7.34,431,-0.4,NGC0253,-0.3,-1.44,5.03018E+19,3.22594E+38,5.33137E+59
ESO410-005,0,15,31.4,-,32,10,48,0.91,45,4,0,-11.6,24.5,6.89,6.13,5.91,5.91,53,0.1,NGC0055,0.3,0.5,1.40413E+19,2.68322E+36,1.15961E+58
LV J0015-3825,0,15,38.3,-,38,25,41,0.76,59,29,0,-11.1,24.6,6.68,7.88,7.23,7.23,592,-1.7,NGC7713,-1.2,,1.17268E+19,1.50889E+38,6.75503E+57
And XIX,0,19,32.1,+,35,2,37,8.07,90,3,0,-9.6,31.2,6.8,6.77,,,157,1.9,MESSIER031,1.9,1.75,1.2452E+20,1.17127E+37,8.08736E+60
IC0010,0,20,24.5,+,59,17,30,3.42,33,49,0.02,-16.4,22.6,8.63,8.98,8.16,8.16,-62,1.6,MESSIER031,1.6,1.75,5.27706E+19,1.89958E+39,6.15552E+59
JKB129,0,20,41.4,+,8,37,1,1.85,78,10,0,-12.9,24.8,7.39,7.37,7.59,7.59,889,-2,NGC0628,-1.6,,2.85455E+19,4.66291E+37,9.7432E+58
And XXVI,0,23,45.6,+,47,54,58,0.5,64,3,0,-5.2,29.6,5.02,5.65,,,21,2.8,MESSIER031,2.9,1.75,7.715E+18,8.88498E+35,1.92352E+57
Cetus,0,26,11,-,11,2,40,1.11,55,19,0,-10.2,26.3,7.03,7.66,< 5.40,5.4,26,0.3,MESSIER031,0.5,1.75,1.71273E+19,9.09194E+37,2.10453E+58
ESO294-010,0,26,33.3,-,41,51,20,0.88,58,3,0,-11,25,6.3,5.95,5.52,5.52,71,1,NGC0055,1.1,0.54,1.35784E+19,1.77279E+36,1.04866E+58
UGC00288,0,29,4,+,43,25,54,2.24,60,15,0,-13.9,24.2,7.8,7.77,7.69,7.69,463,-1.2,Maffei2,-0.9,-2.04,3.45632E+19,1.17127E+38,1.72954E+59
And XXV,0,30,8.9,+,46,51,7,1.44,17,9,0,-8.6,28.5,6.38,7.1,,,170,2.9,MESSIER031,2.9,1.75,2.22192E+19,2.50413E+37,4.59488E+58
ESO473-024,0,31,22.5,-,22,45,57,4.44,63,22,0,-13.7,25.9,7.72,8.4,8.18,8.18,584,-1.9,PGC001242,-1.6,-1.09,6.85092E+19,4.99639E+38,1.3469E+60
NGC0147,0,33,11.6,+,48,30,28,3.63,70,22,0,-14.8,24.3,8.21,8.31,< 3.74,3.74,85,2.8,MESSIER031,2.8,1.75,5.60109E+19,4.06122E+38,7.36048E+59
And III,0,35,33.8,+,36,29,52,0.87,90,3,0,-8.9,27.1,6.5,5.8,< 5.55,5.55,-82,3.2,MESSIER031,3.2,1.75,1.34241E+19,1.25504E+36,1.01331E+58
Cas III,0,35,59.4,+,51,33,35,3.6,90,3,0,-11.5,27.6,7.56,6.42,,,-93,2.3,MESSIER031,2.4,1.75,5.5548E+19,5.23187E+36,7.17949E+59
And XXX,0,36,34.9,+,49,38,48,0.72,77,7,0,-7.5,28.1,5.94,6.62,,,136,2.3,MESSIER031,2.6,1.75,1.11096E+19,8.29195E+36,5.7436E+57
And XVII,0,37,7,+,44,19,20,0.64,80,3,0,-7.1,28.3,5.78,5.68,< 5.54,5.54,22,3.6,MESSIER031,3.7,1.75,9.8752E+18,9.52043E+35,4.03391E+57
And XXVII,0,37,27.1,+,45,23,13,0.73,71,3,0,-7.3,28.3,5.88,5.77,,,-261,3,MESSIER031,3.1,1.75,1.12639E+19,1.17127E+36,5.98625E+57
KK7,0,37,42.4,-,43,30,16,1.7,48,11,0,-13.6,23.9,7.69,7.37,7.34,7.34,734,-2.2,NGC1291,-1.8,,2.6231E+19,4.66291E+37,7.5602E+58
NGC0185,0,38,58,+,48,20,10,2.98,39,33,0,-14.9,23.8,8.36,8.57,5.08,5.08,73,2.3,MESSIER031,2.3,1.75,4.59814E+19,7.39021E+38,4.07226E+59
NGC0205,0,40,22.5,+,41,41,11,4.78,64,60,0.1,-16.2,23.5,8.9,9.3,5.58,5.58,47,4.3,MESSIER031,4.4,1.75,7.37554E+19,3.96878E+39,1.68062E+60
And IV,0,42,32.3,+,40,34,19,2.19,45,56,0.04,-12.4,25.6,7.22,8.9,8.44,8.44,503,-1.3,Maffei2,-1,-1.46,3.37917E+19,1.58E+39,1.61629E+59
MESSIER032,0,42,42.1,+,40,51,59,2.17,53,115,0.18,-16.1,22,9.09,9.52,< 6.42,6.42,64,4.7,MESSIER031,4.7,1.75,3.34831E+19,6.58653E+39,1.57241E+59
MESSIER031,0,42,44.5,+,41,16,9,43.45,78,249,0.98,-21.4,23.1,10.73,11.5,9.73,9.73,-29,3.1,MESSIER032,3.2,1.42,6.70434E+20,6.29009E+41,1.26228E+63
DDO226,0,43,3.8,-,22,15,1,3.12,90,14,0,-13.6,25.2,7.71,7.82,7.53,7.53,409,-0.3,NGC0253,-0.2,-0.58,4.81416E+19,1.31419E+38,4.67359E+59
And I,0,45,40,+,38,2,14,1.75,55,4,0,-10.6,27,7.17,6.43,< 5.53,5.53,-116,3.4,MESSIER031,3.4,1.75,2.70025E+19,5.35373E+36,8.24709E+58
And XI,0,46,20,+,33,48,5,0.28,44,4,0,-5.7,27.9,5.22,5.63,< 5.53,5.53,-167,2.7,MESSIER031,2.7,1.75,4.3204E+18,8.48509E+35,3.37801E+56
NGC0247,0,47,8.3,-,20,45,36,26.39,74,96,0.49,-18.6,24.9,9.5,10.45,9.18,9.18,216,1.6,NGC0253,1.6,1.73,4.07198E+20,5.60605E+40,2.82816E+62
And XII,0,47,27,+,34,22,29,0.97,90,3,0,-6.2,30.1,5.43,5.85,< 5.64,5.64,-303,2.6,MESSIER031,2.6,1.75,1.49671E+19,1.40817E+36,1.40443E+58
NGC0253,0,47,34.3,-,25,17,32,38.28,85,192,1.15,-21.2,23.1,10.98,11.22,9.09,9.09,276,0.1,NGC0247,0.2,0.66,5.9066E+20,3.30108E+41,8.63182E+62
KDG002,0,49,21.1,-,18,4,28,1.3,26,11,0,-11.5,25.4,6.85,7.26,5.99,5.99,290,1,NGC0253,1.1,1.74,2.0059E+19,3.61957E+37,3.38078E+58
DDO006,0,49,49.3,-,21,0,58,2.24,90,3,0,-12.5,25.6,7.08,6.21,7.06,7.06,344,1.3,NGC0253,1.3,1.74,3.45632E+19,3.22594E+36,1.72954E+59
ESO540-032,0,50,24.6,-,19,54,25,1.62,26,6,0,-11.5,25.9,6.83,6.8,6.03,6.03,285,1.4,NGC0247,1.7,1.74,2.49966E+19,1.25504E+37,6.54231E+58
And XIV,0,51,35,+,29,41,49,0.69,41,4,0,-7.8,27.7,6.07,6.06,< 5.53,5.53,-240,2.2,MESSIER031,2.2,1.75,1.06467E+19,2.28379E+36,5.05515E+57
And XIII,0,51,51,+,33,0,16,0.42,90,3,0,-6.2,28.2,5.42,5.48,< 5.65,5.65,53,2.4,MESSIER031,2.4,1.75,6.4806E+18,6.00699E+35,1.14008E+57
SMC,0,52,38,-,72,48,1,7.09,58,46,0.04,-16.5,24.1,8.85,9.25,8.65,8.65,-22,3.3,LMC,3.6,1.75,1.09399E+20,3.53718E+39,5.48435E+60
And IX,0,52,52.8,+,43,12,0,1.01,10,15,0,-8.2,28.1,6.24,7.42,< 5.60,5.6,48,4,MESSIER031,4,1.75,1.55843E+19,5.23187E+37,1.58544E+58
NGC0300,0,54,53.5,-,37,40,57,15.61,45,90,0.14,-17.9,24.4,9.41,10.17,9.32,9.32,116,0.1,NGC0055,0.2,0.23,2.40862E+20,2.94209E+40,5.85322E+61
LV J0055-2310,0,55,1,-,23,10,9,0.49,65,26,0,-9.8,25,6.16,7.57,6.64,6.64,288,2.2,NGC0253,2.2,1.76,7.5607E+18,7.39021E+37,1.8104E+57
And XVI,0,59,29.8,+,32,22,36,0.33,57,3,0,-6.8,27.1,5.67,5.54,< 5.24,5.24,-143,1.5,MESSIER031,1.5,1.75,5.0919E+18,6.89694E+35,5.53004E+56
Sculptor,1,0,9.4,-,33,42,33,1.04,60,3,0,-9.8,26.6,6.86,6,< 5.39,5.39,91,2.7,Milky Way,2.8,1.75,1.60472E+19,1.9891E+36,1.73096E+58
LGS 3,1,3,55,+,21,53,6,0.46,64,3,0,-9.3,25.4,5.96,5.62,5.02,5.02,-74,1.5,MESSIER031,1.5,1.75,7.0978E+18,8.29195E+35,1.49782E+57
IC1613,1,4,47.8,+,2,8,0,4.27,29,13,0,-14.6,24.8,8.1,7.9,7.8,7.8,-89,0.6,MESSIER031,0.8,1.75,6.58861E+19,1.58E+38,1.19804E+60
And X,1,6,33.7,+,44,48,16,0.48,31,5,0,-6.6,28.1,5.58,6.11,< 5.40,5.4,95,2.2,MESSIER031,2.2,1.75,7.4064E+18,2.56246E+36,1.70181E+57
UGC00685,1,7,22.3,+,16,41,2,3.49,51,36,0,-14.4,24.6,8.03,8.72,7.8,7.8,351,-1.5,NGC0253,-1.1,,5.38507E+19,1.04389E+39,6.54128E+59
KKH5,1,7,32.5,+,51,26,25,1.72,60,16,0,-12.7,24.7,7.35,7.69,7.06,7.06,326,,,,,2.65396E+19,9.74219E+37,7.83018E+58
AM0106-382,1,8,22,-,38,12,33,1.71,66,15,0,-13.4,24.1,7.6,7.68,7.58,7.58,605,-1.7,NGC1291,-1.5,,2.63853E+19,9.52043E+37,7.6944E+58
NGC0404,1,9,26.9,+,35,43,3,3.17,20,100,0.02,-16.4,22.4,9.26,9.57,7.91,7.91,193,-1.3,MESSIER031,-0.7,-2.39,4.89131E+19,7.39021E+39,4.9019E+59
And V,1,10,17.1,+,47,37,41,0.88,53,4,0,-8.8,27.2,6.47,6.27,< 5.62,5.62,-143,2.6,MESSIER031,2.6,1.75,1.35784E+19,3.70388E+36,1.04866E+58
And XV,1,14,18.7,+,38,7,3,0.6,50,3,0,-7.7,27.5,6.03,5.87,< 5.56,5.56,-79,2.9,MESSIER031,2.9,1.75,9.258E+18,1.47454E+36,3.32384E+57
And II,1,16,29.8,+,33,25,9,2.16,40,4,0,-10.9,27.1,7.33,6.58,< 5.44,5.44,40,2,MESSIER031,2.1,1.75,3.33288E+19,7.56235E+36,1.55077E+59
And XXIV,1,18,30,+,46,21,58,1,31,5,0,-6.9,29.4,5.73,6.44,,,127,1.9,MESSIER031,1.9,1.75,1.543E+19,5.47844E+36,1.53881E+58
PiscesB,1,19,11.7,+,11,7,18,1.26,75,18,0,-12.2,24.7,7.11,7.66,7.47,7.47,782,-1,NGC0628,-0.9,-1.85,1.94418E+19,9.09194E+37,3.07821E+58
And XXII,1,27,40,+,28,5,25,0.44,90,3,0,-5.8,28.7,5.28,5.51,,,87,1.7,MESSIER031,1.9,1.75,6.7892E+18,6.4366E+35,1.31082E+57
UGC01056,1,28,47.2,+,16,41,17,3.12,54,20,0,-15.5,23.2,8.54,8.18,7.93,7.93,774,0.9,NGC0628,0.9,1.35,4.81416E+19,3.01062E+38,4.67359E+59
And XXIII,1,29,21.8,+,38,43,8,2.44,73,3,0,-9,29.3,6.55,6.29,,,-6,2.4,MESSIER031,2.5,1.75,3.76492E+19,3.87844E+36,2.2354E+59
UGC01085,1,31,18.9,+,7,47,16,4.23,57,15,0,-13.3,26.2,7.56,8.07,7.82,7.82,797,-0.9,NGC0628,-0.8,,6.52689E+19,2.33699E+38,1.16468E+60
UGC01104,1,32,42.3,+,18,18,57,4.06,62,41,0.01,-15.2,24.2,8.35,8.9,8.02,8.02,869,-1.6,NGC0628,-1.1,,6.26458E+19,1.58E+39,1.02983E+60
AGC112454,1,32,59.7,+,14,22,24,2.31,90,30,0,-13.9,24.2,7.81,8.39,8.09,8.09,837,1.2,NGC0628,1.2,1.35,3.56433E+19,4.88266E+38,1.8968E+59
MESSIER033,1,33,50.8,+,30,39,37,19.15,54,99,0.22,-19,23.7,9.62,10.34,9.4,9.4,34,1.5,MESSIER031,1.5,1.73,2.95485E+20,4.35168E+40,1.08067E+62
AGC114027,1,34,41.8,+,14,38,40,1.11,78,10,0,-12.8,23.7,7.39,7.08,7.38,7.38,898,1,NGC0628,1,1.36,1.71273E+19,2.39142E+37,2.10453E+58
KKH6,1,34,51.6,+,52,5,30,1.79,62,8,0,-13.1,24.5,7.3,7.12,6.92,6.92,313,-0.1,Maffei2,0.1,-0.73,2.76197E+19,2.62214E+37,8.82563E+58
NGC0625,1,35,5,-,41,26,11,7.98,76,34,0,-16.5,24.3,8.96,9.02,8,8,325,-0.3,NGC0253,-0.3,-0.72,1.23131E+20,2.08284E+39,7.81979E+60
NGC0628,1,36,41.3,+,15,47,12,35.39,20,64,0.01,-20.6,23.5,10.6,10.22,9.73,9.73,827,-0.5,UGC01171,-0.1,-0.41,5.46068E+20,3.30108E+40,6.82069E+62
AGC112503,1,38,0.3,+,14,58,58,1.09,24,42,0,-12.6,24,7.27,8.35,6.99,6.99,909,-1,NGC0628,-0.7,-0.57,1.68187E+19,4.45304E+38,1.99281E+58
UGC01171,1,39,44.8,+,15,53,58,3.99,26,8,0,-14.3,25.1,7.96,7.52,7.7,7.7,906,2.2,NGC0628,2.2,1.35,6.15657E+19,6.58653E+37,9.77474E+59
DDO013,1,40,9.6,+,15,54,17,12.64,44,18,0,-15.7,26.1,8.53,8.68,8.66,8.66,798,-0.6,NGC0628,-0.4,-0.81,1.95035E+20,9.52043E+38,3.10762E+61
AGC112521,1,41,7.9,+,27,19,26,1.1,67,5,0,-11.4,25.1,6.81,6.55,6.75,6.75,476,-1.4,Maffei2,-0.9,-0.31,1.6973E+19,7.05759E+36,2.04816E+58
KK13,1,42,16.8,+,26,22,4,1.72,65,11,0,-13.3,24.2,7.57,7.37,7.27,7.27,556,-0.4,IC1727,-0.2,0.62,2.65396E+19,4.66291E+37,7.83018E+58
KDG010,1,43,41.4,+,15,41,23,3.83,55,13,0,-13.9,25.3,7.81,7.85,7.8,7.8,953,-1,NGC0628,-0.7,-0.53,5.90969E+19,1.40817E+38,8.64535E+59
KK14,1,44,42.7,+,27,17,16,1.67,90,7,0,-12.1,25.4,7.08,6.94,7.54,7.54,619,1.1,NGC0672,1.1,0.62,2.57681E+19,1.73243E+37,7.16697E+58
ESO245-005,1,45,3.6,-,43,35,53,5.11,30,51,0.01,-15.7,24.2,8.53,9.19,8.6,8.6,307,-0.7,NGC0253,-0.6,-0.29,7.88473E+19,3.08075E+39,2.05328E+60
JKB142,1,45,48.2,+,16,22,41,1.34,64,16,0,-11.9,25.1,7.01,7.59,7.65,7.65,887,0.5,NGC0628,0.5,1.35,2.06762E+19,7.7385E+37,3.70255E+58
KK15,1,46,41.6,+,26,48,5,1.54,90,3,0,-11.8,25.4,6.98,6.05,7.21,7.21,563,-1.4,NGC0891,-0.9,-0.69,2.37622E+19,2.23181E+36,5.62016E+58
IC1727,1,47,30.1,+,27,19,52,15.49,70,60,0.21,-17.8,24.4,9.49,9.8,8.9,8.9,533,0.4,NGC0672,0.4,0.4,2.39011E+20,1.25504E+40,5.71927E+61
NGC0672,1,47,53.2,+,27,26,1,15.63,71,96,0.44,-18.8,23.5,9.65,10.22,9.22,9.22,626,0.2,IC1727,0.3,0.24,2.41171E+20,3.30108E+40,5.87575E+61
UGC01281,1,49,32.3,+,32,35,33,8.41,85,54,0.26,-16.2,24.7,8.57,9.45,8.28,8.28,367,-0.5,Dw0149+3237,-0.3,-0.55,1.29766E+20,5.60605E+39,9.15323E+60
Phoenix,1,51,6.3,-,44,26,41,0.7,35,16,0,-9.6,26,6.07,7.32,< 5.21,5.21,-106,0.7,Milky Way,0.8,1.75,1.0801E+19,4.15582E+37,5.27814E+57
KK16,1,55,20.6,+,27,57,15,2.21,90,3,0,-12.7,25.3,7.35,6.2,6.86,6.86,400,-0.7,NGC0784,-0.5,-0.32,3.41003E+19,3.15251E+36,1.66098E+59
KK17,2,0,9.9,+,28,49,57,1.49,72,3,0,-11.5,25.6,7.02,6.08,6.76,6.76,360,-1,NGC0784,-0.6,-0.3,2.29907E+19,2.39142E+36,5.09032E+58
NGC0784,2,1,16.8,+,28,50,37,10.3,79,39,0,-16.7,24.7,8.67,9.26,8.53,8.53,385,-1.2,Maffei2,-0.8,-0.63,1.58929E+20,3.61957E+39,1.6815E+61
UGC01561,2,4,5,+,24,12,28,3.51,50,19,0,-15.7,23.4,8.52,8.18,7.84,7.84,782,-1.3,NGC0628,-0.8,0.12,5.41593E+19,3.01062E+38,6.65438E+59
Cas1,2,6,7.9,+,69,0,36,7.36,45,29,0,-17.4,23.3,9.03,8.87,8.38,8.38,284,,,,,1.13565E+20,1.47454E+39,6.13507E+60
Triangulum II,2,13,17.4,+,36,10,42,0.07,44,4,0,-1.2,29.4,3.45,5.05,,,-180,3.9,Milky Way,3.9,1.75,1.0801E+18,2.23181E+35,5.27814E+54
NGC0855,2,14,3.7,+,27,52,38,8.91,85,41,0.02,-17,24.1,9.37,9.24,8.45,8.45,770,-0.9,NGC0925,-0.6,-0.72,1.37481E+20,3.45666E+39,1.08848E+61
Segue 2,2,19,16,+,20,10,31,0.07,39,4,0,-2.3,28.2,3.88,5.11,,,112,3.8,Milky Way,3.8,1.75,1.0801E+18,2.56246E+35,5.27814E+54
UGC01807,2,21,13.4,+,42,45,46,5.82,8,166,0.01,-16.1,24,8.81,10.27,8.56,8.56,840,3.2,NGC0891,3.2,1.73,8.98026E+19,3.70388E+40,3.03358E+60
NGC0891,2,22,32.8,+,42,20,48,38.6,82,218,1.02,-20.6,23.7,10.98,11.33,9.66,9.66,736,1.1,UGC01807,1.1,0.07,5.95598E+20,4.25262E+41,8.8501E+62
KKH11,2,24,35,+,56,0,42,4.09,68,40,0,-14.6,24.7,8.17,8.88,8.19,8.19,308,1.2,Maffei2,1.4,2.17,6.31087E+19,1.50889E+39,1.05283E+60
DDO019,2,25,0.2,+,36,2,16,6.27,46,53,0.04,-14.4,25.9,8.03,9.31,8.34,8.34,771,0.3,NGC0925,0.5,1.07,9.67461E+19,4.06122E+39,3.79305E+60
d0226+3325,2,26,52.8,+,33,25,37,4.92,26,36,0,-12.7,27.1,7.34,8.86,8.02,8.02,705,3.8,NGC0925,3.8,1.05,7.59156E+19,1.44098E+39,1.83266E+60
NGC0925,2,27,16,+,33,34,41,34.25,57,107,0.28,-19.9,24.1,10.14,10.66,9.6,9.6,738,1,d0226+3325,1.1,0.54,5.28478E+20,9.09194E+40,6.18256E+62
Halogas,2,27,20,+,33,57,30,1.26,47,3,0,-12.2,24.6,7.14,6.24,7.53,7.53,834,2.8,NGC0925,2.8,1.05,1.94418E+19,3.45666E+36,3.07821E+58
KKH12,2,27,27,+,57,29,16,5.52,90,20,0,-14.4,25.7,8.21,8.41,7.77,7.77,303,1.7,Maffei2,2,2.17,8.51736E+19,5.11277E+38,2.58823E+60
Hydrus 1 dw,2,29,33.4,-,78,41,28,0.13,44,4,0,-3.8,28,4.48,5.28,,,-136,4.4,Milky Way,4.4,1.75,2.0059E+18,3.79015E+35,3.38078E+55
DDO022,2,32,54,+,38,40,50,5.02,90,22,0,-14.6,25.3,8.07,8.44,8.11,8.11,765,0.4,NGC0891,0.6,1.83,7.74586E+19,5.47844E+38,1.94669E+60
DDO025,2,33,18.2,+,33,29,28,7.78,23,33,0,-16.4,24.4,8.89,8.98,8.43,8.43,785,1.2,NGC0925,1.2,1.03,1.20045E+20,1.89958E+39,7.24645E+60
DDO024,2,33,43,+,40,31,41,7.92,36,33,0,-16.6,24.3,8.97,9.01,8.74,8.74,780,1,NGC0891,1,1.75,1.22206E+20,2.03543E+39,7.64473E+60
MB1,2,35,35.6,+,59,22,47,5.51,87,21,0,-15.8,24.3,9,8.43,8.04,8.04,421,-0.4,Maffei2,-0.1,,8.50193E+19,5.35373E+38,2.57419E+60
ESO115-021,2,37,45,-,61,20,28,10.14,90,53,0.28,-15.6,25.8,8.75,9.51,8.58,8.58,339,-1.3,NGC1313,-1,0.32,1.5646E+20,6.4366E+39,1.60435E+61
Fornax,2,39,54.7,-,34,31,33,0.72,58,3,0,-11.5,24.1,7.55,5.87,< 5.19,5.19,-56,2.1,Milky Way,2.2,1.75,1.11096E+19,1.47454E+36,5.7436E+57
Maffei2,2,41,54.5,+,59,36,11,17.34,63,159,0.46,-19.3,23.2,11.21,10.71,9.4,9.4,214,2.3,Maffei1,2.3,1.76,2.67556E+20,1.02013E+41,8.02294E+61
UGC02172,2,42,10.8,+,43,21,19,4.13,61,29,0,-15.7,23.7,8.32,8.62,7.87,7.87,765,0.1,NGC0891,0.2,1.73,6.37259E+19,8.29195E+38,1.08402E+60
AGC122226,2,46,38.9,+,27,43,35,2.09,67,9,0,-12.9,25,7.41,7.25,7.46,7.46,625,,,,,3.22487E+19,3.53718E+37,1.40483E+59
AGC124635,2,48,38.5,+,19,19,42,1.79,67,3,0,-10.8,26.8,6.55,6.19,7.2,7.2,692,-1.8,NGC0891,-1.2,-2.35,2.76197E+19,3.08075E+36,8.82563E+58
AGC123352,2,48,39.2,+,23,16,26,1.12,52,4,0,-11.6,24.9,6.91,6.38,7.18,7.18,604,-1.6,NGC0891,-1,-0.2,1.72816E+19,4.77152E+36,2.16192E+58
Dw2,2,54,8.5,+,59,0,19,5.11,90,44,0.05,-16.1,23.8,8.96,9.05,8.61,8.61,316,1.7,Maffei2,1.9,2.17,7.88473E+19,2.23181E+39,2.05328E+60
Horologium 1,2,55,31.7,-,54,7,8,0.06,58,3,0,-2.8,27.5,4.05,4.79,< 3.03,3.03,-51,2.9,Milky Way,3.2,1.75,9.258E+17,1.22647E+35,3.32384E+54
PGC2807172,2,55,37.8,+,19,38,4,3.71,48,38,0,-17,22.2,9.05,8.79,8.34,8.34,675,-1.8,NGC1023,-1.3,-2.35,5.72453E+19,1.22647E+39,7.85793E+59
ESO154-023,2,56,50.4,-,54,34,23,13.44,83,53,0.25,-16.5,25.5,8.93,9.65,9.14,9.14,408,-1.7,NGC1311,-1.1,-0.47,2.07379E+20,8.88498E+39,3.7358E+61
Dw1,2,56,56.1,+,58,54,42,11.24,52,105,0.2,-19.5,22.1,10.64,10.16,9.24,9.24,333,1,Maffei2,1.1,2.09,1.73433E+20,2.87512E+40,2.18517E+61
AGC124056,2,57,36.4,+,23,47,21,0.59,35,4,0,-11.1,24.1,6.67,6.1,6.79,6.79,538,0.4,NGC1156,0.4,0.07,9.1037E+18,2.50413E+36,3.1604E+57
ESO199-007,2,58,4.1,-,49,22,57,1.85,90,8,0,-12.6,25.1,7.27,7.12,7.25,7.25,479,-1.3,ESO154-023,-0.9,-0.09,2.85455E+19,2.62214E+37,9.7432E+58
GALFA Dw3,2,58,56.5,+,13,37,45,1.31,90,3,0,-12,24.9,7.04,5.98,6.84,6.84,622,-2,Maffei2,-1.4,,2.02133E+19,1.89958E+36,3.4594E+58
NGC1156,2,59,42.4,+,25,14,15,8.11,32,55,0.03,-17.9,23,9.2,9.46,8.71,8.71,507,,,,,1.25137E+20,5.73663E+39,8.20822E+60
LV J0300+2546,3,0,39.3,+,25,46,56,1.05,33,5,0,-12.7,23.7,7.34,6.41,6.2,6.2,443,1.6,NGC1156,1.6,0.07,1.62015E+19,5.11277E+36,1.78137E+58
Perseus I,3,1,23.6,+,40,59,18,0.89,69,3,0,-9.6,26.4,6.8,5.87,,,-145,1.1,MESSIER031,1.2,1.75,1.37327E+19,1.47454E+36,1.08482E+58
KKH18,3,3,5.9,+,33,41,40,1.16,65,13,0,-12.6,24.1,7.28,7.36,7.14,7.14,374,-1,Maffei2,-0.7,-1.67,1.78988E+19,4.55676E+37,2.40193E+58
ESO300-014,3,9,37.8,-,41,1,50,19.96,60,66,0.16,-17.1,25.7,9.3,10,8.65,8.65,824,0.4,NGC1291,0.4,1.71,3.07983E+20,1.9891E+40,1.22368E+62
ESO300-016,3,10,10.5,-,40,0,11,3.94,50,18,0,-14.4,24.9,8,8.15,7.91,7.91,583,,,,,6.07942E+19,2.80968E+38,9.41185E+59
NGC1291,3,17,18.6,-,41,6,29,38.53,25,37,0,-20.4,23.8,10.97,9.78,9.01,9.01,702,-0.1,N1291-DW8,0,0.14,5.94518E+20,1.19855E+40,8.80204E+62
NGC1313,3,18,15.4,-,66,29,51,17.3,37,120,0.12,-19.1,23.4,9.57,10.46,9.29,9.29,264,-0.7,KK27,-0.6,-0.5,2.66939E+20,5.73663E+40,7.96755E+61
NGC1311,3,20,7.4,-,52,11,6,7.28,78,36,0,-15.4,25.2,8.43,9.05,8.04,8.04,399,-1.2,ESO154-023,-0.9,-0.18,1.1233E+20,2.23181E+39,5.93718E+60
UGC02684,3,20,23.7,+,17,17,42,4.45,72,36,0,-13.6,26,7.65,8.83,7.99,7.99,438,,,,,6.86635E+19,1.3448E+39,1.35602E+60
