pl_name,pl_radius (Earth radius),pl_mass (Earth mass)
WASP-4 b,14.908,386.48128
WASP-4 b,14.908,375.03940
WASP-4 b,14.908,371.86110
WASP-36 b,14.908,729.41985
WASP-184 b,14.908,181.16310
WASP-100 b,14.908,400.46580
NGTS-21 b,14.908,750.07504
NGTS-1 b,14.908,258.07796
Kepler-17 b,14.908,785.04010
HATS-41 b,14.908,3082.95100
HAT-P-6 b,14.908,336.58197
HAT-P-6 b,14.908,335.93200
HAT-P-6 b,14.908,351.51998
HATS-18 b,14.897,629.14449
WASP-36 b,14.874,750.39663
NGTS-6 b,14.863,425.57437
Kepler-412 b,14.852,298.43000
Kepler-412 b,14.852,294.62841
Kepler-6 b,14.830,212.61900
KELT-23 A b,14.830,298.12454
Gaia-2 b,14.818,259.66581
WASP-4 b,14.807,376.94638
Kepler-74 b,14.800,216.12000
WASP-68 b,14.796,343.25640
WASP-62 b,14.796,165.27160
WASP-35 b,14.796,228.82800
WASP-35 b,14.796,222.79883
WASP-26 b,14.796,324.18498
WASP-26 b,14.796,329.90754
TrES-3 b,14.796,607.03000
HAT-P-1 b,14.796,168.44990
HAT-P-1 b,14.785,166.86075
HAT-P-1 b,14.785,168.13207
WASP-123 b,14.773,285.72917
HAT-P-53 b,14.773,471.65972
HAT-P-53 b,14.773,469.43491
HAT-P-24 b,14.751,217.71355
TrES-3 b,14.706,615.95454
WASP-127 b,14.695,52.34660
WASP-46 b,14.684,667.73300
WASP-3 b,14.684,559.38080
WASP-19 b,14.684,367.72931
TrES-3 b,14.684,603.55917
Kepler-17 b,14.684,743.72220
K2-97 b,14.684,152.55840
K2-97 b,14.684,152.55840
K2-97 b,14.684,349.61300
CoRoT-18 b,14.684,1099.69180
BD+60 1417 b,14.684,4767.42610
Kepler-17 b,14.680,778.65000
CoRoT-18 b,14.680,1102.82000
TrES-3 b,14.628,607.05530
WASP-169 b,14.617,178.30263
Kepler-6 b,14.617,212.31044
HAT-P-36 b,14.617,588.62116
WASP-24 b,14.605,352.47347
WASP-18 b,14.600,3241.70000
HATS-1 b,14.594,589.55000
HATS-1 b,14.594,556.20250
XO-1 b,14.572,286.04700
WASP-55 b,14.572,181.48093
WASP-55 b,14.572,181.15500
WASP-35 b,14.572,225.65930
WASP-24 b,14.572,336.89980
WASP-174 b,14.572,413.17900
WASP-135 b,14.572,603.87700
VHS J125601.92-125723.9 b,14.572,3813.94088
TOI-1181 b,14.572,375.03752
TOI-1107 b,14.572,1064.72516
PDS 70 b,14.572,2542.64000
OGLE-TR-56 b,14.572,286.04700
OGLE-TR-56 b,14.572,410.00070
NGTS-16 b,14.572,211.99155
Kepler-91 b,14.572,241.54000
KELT-6 b,14.572,165.27160
K2-238 b,14.572,273.33380
K2-132 b,14.572,155.73670
K2-132 b,14.572,155.73670
HATS-16 b,14.572,1039.30410
HAT-P-24 b,14.572,238.37250
CoRoT-21 b,14.572,718.29580
CoRoT-21 b,14.572,705.58260
WASP-24 b,14.571,340.38200
TrES-3 b,14.516,610.23360
WASP-3 b,14.500,559.35700
HAT-P-51 b,14.493,98.20947
HAT-P-51 b,14.493,98.84513
XO-4 b,14.460,483.41943
WASP-72 b,14.460,731.00900
TOI-2583 A b,14.460,79.45710
Kepler-41 b,14.460,179.89178
Kepler-41 b,14.460,177.98000
KELT-2 A b,14.460,485.32641
K2-99 b,14.460,308.29510
HD 203030 b,14.460,3496.11248
HAT-P-16 b,14.460,1332.66119
CoRoT-19 b,14.460,367.09365
CoRoT-19 b,14.460,352.78000
Kepler-15 b,14.448,221.20968
HAT-P-16 b,14.448,1341.56043
HAT-P-16 b,14.448,1332.60500
HAT-P-50 b,14.437,429.07050
HAT-P-50 b,14.437,431.93097
XO-4 b,14.426,491.68301
TOI-157 b,14.415,375.03940
KELT-2 A b,14.415,483.71700
HATS-45 b,14.415,222.48100
WASP-173 A b,14.404,1102.87010
Qatar-8 b,14.404,117.91493
HAT-P-46 b,14.392,156.68400
TOI-2236 b,14.370,502.16888
WASP-14 b,14.360,2333.00000
WASP-36 b,14.359,729.73768
WASP-36 b,14.359,726.55938
WASP-36 b,14.359,731.93200
WASP-26 b,14.359,326.71500
WASP-14 b,14.359,2294.73260
TOI-2152 A b,14.359,899.45439
HAT-P-43 b,14.359,210.39500
HAT-P-43 b,14.359,232.01590
HAT-P-13 b,14.359,280.64389
HAT-P-13 b,14.359,271.09800
WASP-20 b,14.348,120.13974
WASP-10 b,14.348,940.77680
HAT-P-42 b,14.348,279.69040
HAT-P-42 b,14.348,331.80100
WASP-39 b,14.336,89.31023
HAT-P-36 b,14.314,587.41341
Kepler-30 c,14.300,2892.25300
TOI-3912 b,14.280,129.03833
HAT-P-4 b,14.280,206.90733
HAT-P-4 b,14.280,213.25500
TrES-2 b,14.258,381.10000
KELT-24 b,14.258,1646.35940
HAT-P-13 b,14.258,270.46200
WASP-64 b,14.247,403.94500
WASP-64 b,14.247,388.07043
WASP-72 b,14.240,491.37630
WASP-52 b,14.240,146.20000
HD 209458 b,14.240,200.22000
WASP-75 b,14.235,340.06000
WASP-75 b,14.235,341.03159
WASP-72 b,14.235,459.58218
WASP-72 b,14.235,491.39696
WASP-52 b,14.235,145.88397
WASP-39 b,14.235,88.98900
WASP-39 b,14.235,88.99240
WASP-39 b,14.235,87.40325
Kepler-40 b,14.235,673.79960
HAT-P-4 b,14.235,216.12440
WASP-18 b,14.202,3213.26130
NGTS-23 b,14.202,194.82881
GU Psc b,14.179,3591.30000
HAT-P-36 b,14.168,582.24000
HAT-P-36 b,14.168,587.98550
WASP-21 b,14.157,93.75985
OGLE-TR-211 b,14.146,238.37250
OGLE-TR-211 b,14.146,216.12440
TrES-2 b,14.135,398.24099
WASP-165 b,14.123,209.13214
HATS-25 b,14.123,194.82979
CoRoT-26 b,14.123,184.34140
HD 189733 b,14.120,365.49000
HAT-P-5 b,14.120,336.89000
CoRoT-26 b,14.120,165.26000
CoRoT-5 b,14.079,145.88397
TOI-150.01,14.067,797.75330
Qatar-2 b,14.056,792.63500
Qatar-2 b,14.056,785.04010
HAT-P-5 b,14.056,336.89980
HAT-P-5 b,14.056,324.18660
CoRoT-13 b,14.034,416.99296
HATS-55 b,14.022,292.72143
HATS-29 b,14.022,207.54299
CoRoT-18 b,14.022,1039.30410
XO-4 b,14.011,451.31860
WASP-28 b,14.011,294.62841
WASP-185 b,14.011,311.47340
Ross 458 c,14.011,1906.98000
OGLE-TR-56 b,14.011,394.10920
OGLE-TR-132 b,14.011,371.86110
OGLE-TR-10 b,14.011,197.04600
OGLE-TR-10 b,14.011,359.14790
Kepler-76 b,14.011,635.66000
HD 206893 b,14.011,8899.19540
Kepler-76 b,14.010,635.63000
HATS-32 b,14.000,292.40360
XO-3 b,13.989,3759.92890
WASP-25 b,13.978,190.06234
TrES-2 b,13.978,380.44251
TOI-1937 A b,13.978,638.83510
OGLE-TR-56 b,13.967,375.03940
TrES-2 b,13.955,457.67520
HAT-P-44 b,13.922,111.87100
HAT-P-24 b,13.922,217.70400
HAT-P-24 b,13.922,229.79109
HAT-P-1 b,13.922,166.86075
HAT-P-1 b,13.922,169.08556
WASP-68 b,13.900,301.93000
Kepler-44 b,13.900,324.17000
Kepler-39 b,13.900,6388.10000
WASP-85 A b,13.899,402.05495
WASP-68 b,13.899,304.16331
WASP-61 b,13.899,651.55150
WASP-61 b,13.899,654.70200
WASP-180 A b,13.899,286.04700
WASP-18 b,13.899,3241.84975
WASP-14 b,13.899,2412.32970
WASP-124 b,13.899,190.69800
TrES-2 b,13.899,406.82240
OGLE-TR-10 b,13.899,181.16310
NGTS-17 b,13.899,242.82090
Kepler-39 b,13.899,6388.38300
TOI-1601 b,13.888,314.65170
WASP-110 b,13.877,162.09249
HATS-36 b,13.843,1022.14128
HATS-68 b,13.809,410.00070
TOI-1296 b,13.798,94.71287
HAT-P-37 b,13.798,378.21770
Kepler-427 b,13.790,92.17000
WASP-95 b,13.787,457.67520
WASP-77 A b,13.787,529.81995
WASP-6 b,13.787,154.14755
WASP-38 b,13.787,1093.33520
WASP-22 b,13.787,212.94610
WASP-192 b,13.787,731.00900
Kepler-427 b,13.787,92.80636
KOI-12 b,13.787,349.61300
HATS-33 b,13.787,378.85336
TrES-2 b,13.776,398.24099
OGLE-TR-132 b,13.776,371.86110
Gaia-1 b,13.776,533.95172
WASP-60 b,13.731,177.98480
HAT-P-1 b,13.731,166.53600
WASP-6 b,13.720,160.00000
WASP-6 b,13.720,153.51189
TrES-2 b,13.720,381.39600
TrES-2 b,13.720,385.20996
HAT-P-23 b,13.720,658.00000
WASP-52 b,13.709,146.20180
TrES-2 b,13.697,380.76034
WASP-14 b,13.686,2466.36080
Kepler-39 b,13.680,5720.70000
WASP-6 b,13.675,158.91500
WASP-50 b,13.675,524.41950
WASP-34 b,13.675,187.51000
WASP-34 b,13.675,185.29489
WASP-25 b,13.675,184.33400
WASP-25 b,13.675,182.43442
WASP-25 b,13.675,184.34140
WASP-16 b,13.675,394.10920
WASP-131 b,13.675,85.81410
WASP-13 b,13.675,114.41880
VHS J125601.92-125723.9 b,13.675,5085.25451
TrES-2 b,13.675,380.76034
TrES-2 b,13.675,380.76034
OGLE-TR-10 b,13.675,193.87630
WASP-28 b,13.664,282.54945
Kepler-43 b,13.664,1026.59090
HAT-P-14 b,13.664,721.79193
WASP-16 b,13.653,264.43456
XO-3 b,13.641,3718.61100
XO-3 b,13.641,3747.06000
TOI-2570 b,13.641,260.61929
HAT-P-1 b,13.641,166.54292
WASP-26 b,13.630,324.18660
HD 189733 b,13.630,369.30300
NGTS-24 b,13.608,165.27077
WASP-28 b,13.597,288.26000
WASP-28 b,13.597,287.95398
HATS-13 b,13.585,172.58169
HATS-13 b,13.585,188.15536
HAT-P-28 b,13.585,198.95300
HAT-P-28 b,13.585,202.45771
TOI-4137 b,13.574,457.67291
XO-1 b,13.563,292.39100
WASP-95 b,13.563,382.66732
WASP-77 A b,13.563,559.38080
WASP-77 A b,13.563,560.33429
WASP-61 b,13.563,654.72980
WASP-26 b,13.563,270.15550
WASP-141 b,13.563,854.96270
WASP-133 b,13.563,368.68280
NGTS-18 b,13.563,129.99182
Kepler-5 b,13.563,648.37320
K2-140 b,13.563,295.58042
HAT-P-5 b,13.563,311.47340
WASP-95 b,13.560,359.13000
WASP-77 A b,13.560,559.36000
TrES-5 b,13.552,568.91570
TrES-5 b,13.552,565.07800
WASP-175 b,13.540,314.65170
HATS-63 b,13.529,305.11680
XO-1 b,13.518,290.17879
XO-1 b,13.518,291.76794
XO-1 b,13.518,293.67492
NGTS-10 b,13.507,687.14846
WASP-77 A b,13.500,572.10000
Kepler-87 b,13.490,324.20000
TrES-5 b,13.484,573.36532
WASP-163 b,13.473,594.34210
WASP-96 b,13.451,155.73670
WASP-41 b,13.451,299.07803
WASP-41 b,13.451,292.39100
WASP-18 b,13.451,3635.97520
WASP-173 A b,13.451,1172.79270
OGLE-TR-56 b,13.451,413.17900
OGLE-TR-132 b,13.451,858.14100
Kepler-44 b,13.451,327.36490
Kepler-418 b,13.451,349.61300
HAT-P-2 b,13.451,3632.79690
HAT-P-14 b,13.451,724.65240
WASP-96 b,13.450,152.55000
OGLE-TR-132 b,13.450,375.02000
Kepler-43 b,13.450,1026.55000
Kepler-423 b,13.450,228.83000
Kepler-418 b,13.450,349.61125
WASP-22 b,13.440,196.10111
WASP-49 b,13.428,126.81417
HAT-P-34 b,13.417,1057.69400
HAT-P-34 b,13.417,1058.37390
K2-30 b,13.406,198.00809
HATS-61 b,13.395,1080.62200
TrES-5 b,13.384,568.91570
HATS-28 b,13.384,213.58176
TrES-2 b,13.372,383.30298
KELT-6 b,13.372,136.66100
Kepler-423 b,13.361,192.60498
Kepler-423 b,13.361,189.10100
WASP-18 b,13.350,3305.43200
CoRoT-4 b,13.340,228.83000
