System,Period (days),"V
B-V",Spectral type,Mass (Msun ),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),"[M/H]
(dex)",References and notes
,,1.09,G6_III,3.429,23.4,2.235,3.702,2.5,,
OGLE-LMC-ECL26122,771.781,16.63,none,3.593,32.71,1.964,3.698,,"-0.15
± +0.10","Pietrzynski et al. (2013Natur.495...76P)
Member of the LMC"
,,0.82,none,3.411,22.99,2.248,3.699,,,
OGLE-LMC-ECL-01866,251.247,16.13,G3_III,3.56,26.79,2.134,3.724,2.708,"-0.49
± 0.17","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.17,K1.5_III,3.55,47.11,1.642,3.653,2.912,,
IQ Per,1.744,7.73,B8_V,3.521,2.446,4.208,4.09,2.09,,Lacy & Frueh (1985ApJ...295..569L)
,,-0.11,A6_V,1.737,1.503,4.323,3.885,0.85,,
OGLE SMC113.3 4007,371.768,15.81,G8_III,3.504,45.8,1.66,3.681,3,"-0.50
± 0.00","Graczyk et al. (2012ApJ...750..144G)
[Fe/H] comes from its membership of the SMC"
,,0.88,G8_III,3.561,48.4,1.62,3.682,3.053,,
OGLE-LMC-ECL-10567,117.975,16.43,G6_III,3.333,24.6,2.179,3.705,2.555,"-0.70
± 0.10","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.09,G9_III,3.184,36.64,1.813,3.673,2.777,,
OGLE-LMC-ECL-09114,214.366,16.71,G4_III,3.304,26.33,2.116,3.719,2.669,"-0.38
± 0.12","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.03,G2_III,3.205,18.79,2.396,3.734,2.439,,
V906 Sco,2.786,5.96,B9_V,3.253,3.515,3.858,4.029,2.162,,Alencar et al. (1997A&A...326..709A)
,,-0.01,B9_V,3.378,4.521,3.656,4.017,2.33,,
? Cen,38.813,4.05,A0_IV,3.187,3.814,3.779,4.019,2.147,,"Gallenne et al. (2019A&A...632A..31G)
Bruntt et al. (2006A&A...456..651B)"
,,0.03,none,1.961,1.896,4.175,3.944,1.244,,
? Dra,51.417,3.68,A0_III,3.186,4.932,3.555,4.01,2.38,"0.01
± 0.05","Pavlovski et al. (2022A&A...658A..92P)
Hey et al. (2022MNRAS.511.2648H)"
,,0.04,none,2.431,2.326,4.09,3.997,1.667,,
V414 Pup,4.749,8.81,ApSi,3.155,2.781,4.049,4.114,,,"Kochukhov et al. (2018MNRAS.478.1749K)
Niemczura et al. (2017NatSR...7.5906N)"
,,-0.05,Am,1.751,1.39,4.395,3.954,,,
OGLE-LMC-ECL-21873,144.188,16.79,G4_III,2.984,20.26,2.3,3.721,2.453,"-0.28
± 0.12","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.06,G6_III,3.093,24.67,2.144,3.704,2.554,,
OGLE-LMC-ECL-09660,167.796,16.27,G3_III,2.981,23.66,2.165,3.72,2.583,"-0.46
± 0.10","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.19,K0_III,2.997,44.4,1.62,3.671,2.932,,
OGLE-LMC-ECL-18836,182.553,17.43,G5_III,2.858,15.95,2.489,3.712,2.21,"-0.40
± 0.10","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.29,K1_III,2.784,30.87,1.904,3.663,2.587,,
OGLE-LMC-ECL-13529,49.467,17.36,G4_III,2.857,17.03,2.432,3.724,2.312,"-0.18
± 0.14","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.01,G4_III,2.81,15.98,2.48,3.721,2.246,,
V348 And,27.703,6.6,B9_V,2.81,2.42,4.12,4.02,,,Zasche et al. (2019AJ....158...95Z)
,,0.11,none,2.69,2.34,4.13,4.02,,,
V402 Lac,3.782,6.73,B8_V,2.8,2.38,4.132,4.054,1.93,,Baroch et al. (2022A&A...665A..13B)
,,-0.04,B8_V,2.78,2.36,4.136,4.052,1.91,,
V451 Oph,2.197,7.87,B9_V,2.776,2.64,4.038,4.033,1.93,,Clausen et al. (1986A&A...167..287C)
,,-0.08,A0_V,2.356,2.028,4.196,3.991,1.53,,
PV Cas,1.75,9.74,B9.5_V,2.76,2.256,4.17,4.008,1.69,,Barembaum & Etzel (1995AJ....109.2680B)
,,0.17,B9.5_V,2.81,2.297,4.17,4.008,1.71,,
OGLE-LMC-ECL-24887,94.844,17.68,G5_III,2.747,16.43,2.446,3.71,2.225,"-0.22
± 0.12","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.16,G6_III,2.976,17.83,2.409,3.705,2.276,,
OGLE-SMC-ECL-1421,102.834,17.18,G2_III,2.72,17.7,2.37,3.732,2.38,"-1.05
± 0.11","Graczyk et al. (2020ApJ...904...13G)
Graczyk et al. (2014ApJ...780...59G)"
,,0.77,G6_III,2.85,23.8,2.14,3.701,2.512,,
OGLE-LMC-ECL-05430,505.183,16.61,G9_III,2.717,28.99,1.948,3.673,2.572,"-0.37
± 0.10","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.2,G9_III,3.374,34.64,1.887,3.678,2.744,,
OGLE-SMC-ECL-0727,316.572,18.11,G3_III,2.68,14.6,2.53,3.724,2.182,"-0.89
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
