name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
Pismis 23,16 23 58,-48 53.7,0.018,0.050,0.075,4,24,41,2820
NGC 2670,08 45 34,-48 49.2,0.018,0.070,0.110,4,38,80,1294
DBSB 103,16 40 03,-48 46.6,0.010,0.045,0.065,1,14,16,1449
NGC 6193,16 41 22,-48 45.3,0.020,0.135,0.230,5,82,205,1158
Lynga 9,16 20 41,-48 31.0,0.010,0.055,0.100,3,40,110,1704
FSR 1454,08 51 07,-48 28.6,0.010,0.045,0.085,4,24,56,2187
FSR 1609,12 27 52,-48 28.5,0.020,0.065,0.115,4,22,52,4467
ASCC 46,08 16 23,-48 28.2,0.018,0.100,0.190,3,43,129,899
NGC 6352,17 25 29,-48 25.3,0.035,0.120,0.220,1,55,187,5610
NGC 5460,14 07 34,-48 19.8,0.040,0.220,0.380,5,96,272,652
Ruprecht 120,16 35 10,-48 18.0,0.020,0.060,0.115,4,22,75,1476
Ruprecht 63,08 32 38,-48 17.7,0.010,0.070,0.120,2,27,69,4829
NGC 3909,11 50 06,-48 12.6,0.025,0.110,0.170,8,53,103,1792
IC 2395,08 42 36,-48 08.0,0.010,0.100,0.230,2,45,159,701
Harvard 13,17 03 51,-48 05.0,0.020,0.075,0.110,5,40,84,3612
FSR 1468,09 11 47,-48 04.2,0.018,0.070,0.125,4,30,79,1005
Pismis 15,09 34 45,-48 01.8,0.020,0.095,0.150,8,90,155,2558
DBSB 36,09 16 48,-47 56.7,0.015,0.070,0.130,1,10,18,748
FSR 1452,08 53 19,-47 55.2,0.015,0.055,0.115,5,19,72,2070
FSR 1400,07 29 22,-47 51.2,0.015,0.065,0.115,2,23,48,2290
FSR 1460,09 07 39,-47 49.5,0.018,0.090,0.170,10,101,253,1285
DBSB 34,09 03 11,-47 49.0,0.010,0.035,0.065,1,6,16,1736
FSR 1419,08 18 59,-47 48.0,0.010,0.075,0.115,2,19,30,7746
Hogg 21,16 45 36,-47 44.8,0.015,0.070,0.120,4,36,80,1750
Muzzio 1,08 57 58,-47 41.7,0.010,0.100,0.180,2,57,111,1394
ESO 260-06,08 46 17,-47 41.1,0.010,0.060,0.115,1,17,53,1211
Melotte 66,07 26 12,-47 40.1,0.020,0.115,0.205,4,91,195,4487
Hogg 20,16 44 33,-47 39.3,0.012,0.085,0.140,3,31,70,1777
Ruprecht 69,08 44 29,-47 34.2,0.015,0.055,0.110,4,21,65,2010
NGC 5139,13 26 47,-47 28.8,0.100,0.450,0.825,10,580,1717,5199
DBSB 35,09 15 10,-47 27.9,0.010,0.060,0.120,1,14,35,1678
NGC 6200,16 44 10,-47 27.9,0.025,0.135,0.240,4,59,186,2214
FSR 1443,08 39 27,-47 21.4,0.012,0.080,0.165,3,44,193,1864
FSR 1471,09 24 11,-47 20.4,0.018,0.065,0.115,4,52,112,1966
Patchick 94,16 29 36,-47 18.0,0.012,0.040,0.065,5,26,60,3178
DBSB 169,16 38 51,-47 17.6,0.010,0.040,0.070,1,8,16,6667
Ruprecht 60,08 24 26,-47 12.0,0.010,0.075,0.120,1,18,43,5739
NGC 2660,08 42 40,-47 11.8,0.010,0.060,0.115,2,23,65,2817
Alessi 9,17 45 11,-47 11.1,0.050,0.615,0.890,3,179,359,218
FSR 1739,17 03 16,-47 09.1,0.020,0.060,0.100,7,39,111,1054
FSR 1441,08 39 29,-47 06.0,0.010,0.075,0.125,1,42,93,1659
Hogg 22,16 46 37,-47 05.4,0.010,0.045,0.075,2,21,52,2799
DBSB 171,16 38 08,-47 04.7,0.012,0.040,0.075,3,8,14,6764
ESO 261-03,09 11 19,-47 03.6,0.010,0.070,0.145,3,59,191,1063
FSR 1735,16 52 12,-47 03.3,0.010,0.035,0.060,1,6,10,8831
ESO 260-07,08 48 00,-47 01.8,0.015,0.070,0.125,4,31,91,1876
Ruprecht 160,09 56 20,-47 01.8,0.020,0.060,0.110,5,28,72,2187
NGC 6204,16 46 08,-47 01.2,0.020,0.075,0.145,8,60,144,1085
FSR 1491,09 59 55,-46 59.1,0.020,0.077,0.130,5,25,62,2234
Ruprecht 71,08 49 21,-46 52.7,0.015,0.095,0.155,4,86,192,1300
NGC 2932,09 35 28,-46 48.6,0.018,0.080,0.140,4,29,95,2919
ESO 258-01,07 45 38,-46 42.6,0.015,0.060,0.105,4,10,24,1031
Alessi 3,07 16 12,-46 37.0,0.020,0.170,0.440,1,18,78,311
Teutsch 103,09 28 37,-46 36.0,0.020,0.055,0.090,4,31,80,2663
FSR 1613,12 31 53,-46 28.6,0.015,0.110,0.170,2,42,98,1965
MWSC 4498,19 32 01,-46 26.1,0.020,0.095,0.155,4,34,72,1537
ESO-SC06,18 09 06,-46 25.0,0.020,0.035,0.065,3,11,30,21395
NGC 3201,10 17 37,-46 24.7,0.040,0.160,0.240,0,58,131,4904
FSR 1450,08 58 25,-46 18.2,0.018,0.060,0.115,7,46,131,1379
Lynga 11,16 38 08,-46 17.7,0.015,0.050,0.085,1,16,32,4101
SAI 94,08 44 41,-46 17.1,0.010,0.047,0.090,2,18,47,3886
MWSC 5705,19 06 53,-46 16.3,0.020,0.065,0.120,3,17,54,1861
Pismis 8,08 41 39,-46 16.0,0.015,0.060,0.115,5,43,122,1363
Pismis 6,08 39 04,-46 14.1,0.020,0.105,0.180,7,111,276,1668
Ruprecht 121,16 41 47,-46 09.0,0.025,0.140,0.240,3,98,234,1239
Waterloo 6,08 40 23,-46 08.0,0.010,0.040,0.070,1,10,16,2256
ESO 260-17,09 04 45,-46 02.1,0.015,0.055,0.115,4,25,80,1808
FSR 1429,08 37 38,-46 01.0,0.010,0.065,0.090,1,18,37,3371
